Format: LABEL: Actual words in document  --  [Pattern used]  {Original file}  Number of occurrence

ADDRESS: If   <| LA |>   had   --   [1155 N LA BREA AVENUE]  {aidinc.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: ,   <| INC |>   .   --   [AIFS INCORPORATION]  {aifs.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: trust   <| AIH |>   to   --   [AIH DESTINATION MGMT]  {aihtravel.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: /   <| S |>   S   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1320
COMPANY: Analog   <| Audio |>   Mixing   --   [AUDIO INTERVISUAL DESIGN]  {aidinc.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: Contact   <| AIH |>      --   [AIH DESTINATION MGMT]  {aihtravel.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 6
COMPANY: The   <| Grove |>      --   [AIDS MEMORIAL GROVE]  {aidsmemorial.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 16
CONTACT: Rochester   <| Gage |>      --   [Fred Gagel]  {aihfasteners.com} REASON:ONLY_ONE_WORD    Occurrence: 2
COMPANY: ,   <| schools |>   operated   --   [ALABAMA SCHOOL FOR THE BLIND]  {aidb.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: discount   <| insurance |>   prices   --   [AUTO INSURANCE CENTER]  {aicok.net} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 4
COMPANY: Visit   <| Aidan |>      --   [STREET AIDAN MONTESSORI SCHOOL]  {aidanschool.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 4
ADDRESS: L   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
CITY: s   <| New |>      --   [NEW YORK]  {aifriedman.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 6
COMPANY: Homeowners   <| Insurance |>      --   [AUTO INSURANCE CENTER]  {aicok.net} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: Folsom   <| Street |>   Events   --   [856 STANYAN STREET]  {aidsmemorial.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: and   <| embroidery |>   services   --   [AIDA EMBROIDERY AND PRINTING]  {aidae.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: Demographic   <| Data |>      --   [CENSUS STATE DATA CENTER]  {aiea.ualr.edu} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 9
COMPANY: Materials   <| for |>   Health   --   [AMERICAN INSTITUTE FOR CANCER]  {aicr.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 20
COMPANY: Our   <| Title |>   Insurance   --   [AIC TITLE SVC]  {aictitleservice.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: Flange   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: Pacific   <| Inc. |>   dba   --   [AIHAMA CONSTRUCTION INCORPORATION]  {aihama.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 5
ADDRESS: /   <| S |>   Nut   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 62
COMPANY:    <| AIDS |>   Run   --   [AIDS LEGAL COUNCIL]  {aidslegal.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: and   <| American Indian |>   Administrator   --   [AMERICAN INDIAN HIGHER ED]  {aihec.org} REASON:TOO_SHORT_OR_FEW_CAPITALS    Occurrence: 1
COMPANY: excellent   <| Aidan |>   education   --   [STREET AIDAN MONTESSORI SCHOOL]  {aidanschool.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: the   <| American |>   Hospital   --   [AMERICAN INTERNATIONAL HEALTH]  {aiha.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: /   <| S |>   Passivate   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 18
COMPANY: HIV/AIDS   <| Task |>   Force   --   [SOUTHERN NHHIV-AIDS TASK]  {aidstaskforcenh.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: /   <| AIDS |>   is   --   [AIDS ALLIANCE FOR CHILDREN]  {aids-alliance.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: the   <| Grove |>   office   --   [AIDS MEMORIAL GROVE]  {aidsmemorial.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: the   <| Southern |>   New   --   [SOUTHERN NHHIV-AIDS TASK]  {aidstaskforcenh.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: for   <| health |>   .   --   [AMERICAN INTERNATIONAL HEALTH]  {aiha.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: for   <| Auto |>   ,   --   [AUTO INSURANCE CENTER]  {aicok.net} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: The   <| Grove |>   -   --   [AIDS MEMORIAL GROVE]  {aidsmemorial.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: full   <| international |>   accreditation   --   [AMERICAN INTERNATIONAL HEALTH]  {aiha.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: and   <| AIDS |>   .   --   [AIDS FOUNDATION OF CHICAGO]  {aidschicago.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY:    <| Alabama |>   Instructional   --   [ALABAMA INSTITUTE-DEAF-BLIND]  {aidb.org} REASON:ONLY_ONE_WORD    Occurrence: 1
ADDRESS: ’   <| s |>   hearing   --   [8 S MICHIGAN AVENUE # 1100]  {aidforwomen.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
ADDRESS:    <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 22
COMPANY:    <| AIFS |>   Worldwide   --   [AIFS INCORPORATION]  {aifs.org} REASON:ONLY_ONE_WORD    Occurrence: 3
COMPANY:    <| Indian |>   Education   --   [AMERICAN INDIAN HIGHER ED]  {aihec.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: it   <| for |>   future   --   [ALABAMA SCHOOL FOR THE BLIND]  {aidb.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: and   <| Indian |>   youth   --   [AMERICAN INDIAN HIGHER ED]  {aihec.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: the   <| Grove |>   in   --   [AIDS MEMORIAL GROVE]  {aidsmemorial.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: About   <| AIDS |>   Response   --   [AIDS RESPONSE-SEACOAST]  {aidsresponse.org} REASON:ONLY_ONE_WORD    Occurrence: 1
ADDRESS: Rollpin   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 16
COMPANY: as   <| southern |>   Sullivan   --   [SOUTHERN NHHIV-AIDS TASK]  {aidstaskforcenh.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: SHCS   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 14
COMPANY: Native   <| American |>   students   --   [AMERICAN INDIAN HIGHER ED]  {aihec.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: Business   <| Insurance |>      --   [AUTO INSURANCE CENTER]  {aicok.net} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: designates   <| Grove |>   Society   --   [AIDS MEMORIAL GROVE]  {aidsmemorial.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: ’   <| s |>   ability   --   [411 S WELLS STREET # 300]  {aidschicago.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY:    <| For Cancer |>   Patients   --   [AMERICAN INSTITUTE FOR CANCER]  {aicr.org} REASON:TOO_SHORT_OR_FEW_CAPITALS    Occurrence: 1
COMPANY: living   <| memorial |>   honors   --   [AIDS MEMORIAL GROVE]  {aidsmemorial.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: NT   <| Audio |>   serving   --   [AUDIO INTERVISUAL DESIGN]  {aidinc.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: Most   <| memorials |>   are   --   [AIDS MEMORIAL GROVE]  {aidsmemorial.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: is   <| a |>   specialty   --   [A I FRIEDMAN]  {aifriedman.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: As   <| Aidan |>   looks   --   [STREET AIDAN MONTESSORI SCHOOL]  {aidanschool.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: high-risk   <| for |>   HIV   --   [AIDS ALLIANCE FOR CHILDREN]  {aids-alliance.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: The   <| school |>   was   --   [ALABAMA SCHOOL FOR THE BLIND]  {aidb.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: /   <| S |>   Med   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
CONTACT: ,   <| Joe |>   has   --   [Joe Kimczel]  {aihtravel.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: Carlisle   <| Indian |>   Industrial   --   [AMERICAN INDIAN HIGHER ED]  {aihec.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: About   <| Aidan |>      --   [STREET AIDAN MONTESSORI SCHOOL]  {aidanschool.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: each   <| Title |>   Examiner   --   [AIC TITLE SVC]  {aictitleservice.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: sustainable   <| health |>   systems   --   [AMERICAN INTERNATIONAL HEALTH]  {aiha.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: FW   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: /   <| AIDS |>   knowledge   --   [AIDS ALABAMA]  {aidsalabama.org} REASON:ONLY_ONE_WORD    Occurrence: 1
COMPANY: Hat   <| Embroidery |>   Cleveland   --   [AIDA EMBROIDERY AND PRINTING]  {aidae.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: authentic   <| Montessori school |>   .   --   [STREET AIDAN MONTESSORI SCHOOL]  {aidanschool.org} REASON:TOO_SHORT_OR_FEW_CAPITALS    Occurrence: 1
ADDRESS: 149X.375X.016   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
ADDRESS: 12   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: 2016   <| AIDS |>   Response   --   [AIDS RESPONSE-SEACOAST]  {aidsresponse.org} REASON:ONLY_ONE_WORD    Occurrence: 6
ADDRESS: Thread   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 14
COMPANY: at   <| Aidan |>   today   --   [STREET AIDAN MONTESSORI SCHOOL]  {aidanschool.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY:    <| Audio |>   Editorial   --   [AUDIO INTERVISUAL DESIGN]  {aidinc.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: living   <| memorial |>   .   --   [AIDS MEMORIAL GROVE]  {aidsmemorial.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: The   <| AIDS |>   Institute   --   [AIDS ALLIANCE FOR CHILDREN]  {aids-alliance.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 3
COMPANY: aircraft   <| title |>   industry   --   [AIC TITLE SVC]  {aictitleservice.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: programs   <| for |>   any   --   [AMERICAN INSTITUTE FOR CANCER]  {aicr.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: 10-32   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 4
ADDRESS: study   <| abroad |>   program   --   [9 W BROAD STREET # 7]  {aifs.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: on   <| auto insurance |>   in   --   [AUTO INSURANCE CENTER]  {aicok.net} REASON:TOO_SHORT_OR_FEW_CAPITALS    Occurrence: 1
COMPANY:    <| AIDS Alliance |>   Policy   --   [AIDS ALLIANCE FOR CHILDREN]  {aids-alliance.org} REASON:TOO_SHORT_OR_FEW_CAPITALS    Occurrence: 1
COMPANY: breakfast   <| sausage |>      --   [AIDELLS SAUSAGE COMPANY]  {aidells.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: the   <| Grove |>   has   --   [AIDS MEMORIAL GROVE]  {aidsmemorial.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY:    <| Industrial |>   PC   --   [ADVANCE INDUSTRIAL COMPUTER]  {aicipc.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 15
COMPANY:    <| State |>   Economic   --   [CENSUS STATE DATA CENTER]  {aiea.ualr.edu} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 3
ADDRESS: Socket   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
ADDRESS: 6   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 4
ADDRESS: '   <| s |>   Loop   --   [411 S WELLS STREET # 300]  {aidschicago.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: without   <| Hardware |>      --   [ARIZONA INDUSTRIAL HARDWARE]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
ADDRESS: /   <| S |>   100   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 10
COMPANY: Reasons   <| for |>   surgical   --   [AID FOR WOMEN]  {aidforwomen.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: TPAN   <| LEGAL |>   CLINIC   --   [AIDS LEGAL COUNCIL]  {aidslegal.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: six   <| American Indian |>   tribally   --   [AMERICAN INDIAN HIGHER ED]  {aihec.org} REASON:TOO_SHORT_OR_FEW_CAPITALS    Occurrence: 2
ADDRESS: of   <| new |>   business   --   [1212 NEW YORK AVENUE NW # 750]  {aiha.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY:    <| aida |>   @   --   [AIDA EMBROIDERY AND PRINTING]  {aidae.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 4
ADDRESS: Pin   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 38
COMPANY: and   <| audio |>   industries   --   [AUDIO INTERVISUAL DESIGN]  {aidinc.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: 10-32X1   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: written   <| in |>   Clipper   --   [ADVENTURES IN CREATIVITY]  {aiconline.net} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: Biotechnology   <| Inc. |>   ,   --   [AIDP INCORPORATION]  {aidp.com} REASON:ONLY_ONE_WORD    Occurrence: 1
COMPANY: points   <| school |>   wide   --   [ALABAMA SCHOOL FOR THE BLIND]  {aidb.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: 8-16   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: /   <| AIDS |>   in   --   [AIDS ALABAMA]  {aidsalabama.org} REASON:ONLY_ONE_WORD    Occurrence: 1
ADDRESS: Stndff   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: and   <| AIFS |>   in   --   [AIFS INCORPORATION]  {aifs.org} REASON:ONLY_ONE_WORD    Occurrence: 1
COMPANY:    <| analytical |>   ,   --   [ANALYTICAL INDUSTRIES INCORPORATION]  {aii1.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: our   <| AIDS Alliance |>   Consumer   --   [AIDS ALLIANCE FOR CHILDREN]  {aids-alliance.org} REASON:TOO_SHORT_OR_FEW_CAPITALS    Occurrence: 1
ADDRESS:    <| 1 |>   .   --   [1 JUNKINS AVENUE # 4]  {aidsresponse.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 3
COMPANY: appropriate   <| for |>   all   --   [AIDS ALLIANCE FOR CHILDREN]  {aids-alliance.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: Clenching   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
ADDRESS: ’   <| s |>   public   --   [6460 S 6TH STREET ROAD]  {aiec.coop} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
ADDRESS: Type   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: to   <| Ai |>      --   [AI DESIGN]  {aidesign.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: /   <| S |>   Patch   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 164
COMPANY: /   <| AIDS |>   :   --   [AIDS FOUNDATION OF CHICAGO]  {aidschicago.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: Screw302   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
CITY:    <| Industry |>   '   --   [CITY OF INDUSTRY]  {aicipc.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 22
COMPANY: underlying   <| health |>   systems   --   [AMERICAN INTERNATIONAL HEALTH]  {aiha.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: and   <| design |>   a   --   [AUDIO INTERVISUAL DESIGN]  {aidinc.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: a   <| Title |>   Search   --   [AIC TITLE SVC]  {aictitleservice.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
ADDRESS: 303   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 4
COMPANY: makes   <| AIC |>   the   --   [AIC TITLE SVC]  {aictitleservice.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 8
ADDRESS: /   <| S |>   Nyl   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: the   <| Grove |>   ,   --   [AIDS MEMORIAL GROVE]  {aidsmemorial.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: remain   <| in |>   rental   --   [ADVENTURES IN CREATIVITY]  {aiconline.net} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
CONTACT: to   <| Richard |>   '   --   [Richard Carmichael]  {aiconline.net} REASON:ONLY_ONE_WORD    Occurrence: 1
CITY: northwest   <| oklahoma city |>   ,   --   [OKLAHOMA CITY]  {aicok.net} REASON:TOO_SHORT_OR_FEW_CAPITALS    Occurrence: 2
COMPANY: at   <| Aidan |>   revolves   --   [STREET AIDAN MONTESSORI SCHOOL]  {aidanschool.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: you   <| for |>   your   --   [ALABAMA SCHOOL FOR THE BLIND]  {aidb.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: of   <| Health |>   AIDS   --   [AMERICAN INTERNATIONAL HEALTH]  {aiha.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: juicy   <| sausage |>   is   --   [AIDELLS SAUSAGE COMPANY]  {aidells.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: life   <| insurance |>   ,   --   [AUTO INSURANCE CENTER]  {aicok.net} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 3
ADDRESS: SEMS   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 160
ADDRESS: studying   <| abroad |>   .   --   [9 W BROAD STREET # 7]  {aifs.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY:    <| For |>   a   --   [ALABAMA SCHOOL FOR THE BLIND]  {aidb.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: of   <| Alabama |>   at   --   [ALABAMA INSTITUTE-DEAF-BLIND]  {aidb.org} REASON:ONLY_ONE_WORD    Occurrence: 2
COMPANY: chicken   <| sausage |>   ,   --   [AIDELLS SAUSAGE COMPANY]  {aidells.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 4
COMPANY: Pacific   <| Inc. |>   provides   --   [AIHAMA CONSTRUCTION INCORPORATION]  {aihama.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: Belleville   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: most   <| Grove |>   donations   --   [AIDS MEMORIAL GROVE]  {aidsmemorial.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: the   <| state |>   .   --   [CENSUS STATE DATA CENTER]  {aiea.ualr.edu} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: statewide   <| association |>   ’   --   [ASSOCIATION OF IL ELECTRIC]  {aiec.coop} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: our   <| sausage |>   ,   --   [AIDELLS SAUSAGE COMPANY]  {aidells.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 4
ADDRESS: 18-8   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 4
ADDRESS: Jodi   <| Street |>      --   [1759 R STREET NW]  {aicr.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: Flat   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 6
COMPANY:    <| For |>   Health   --   [AMERICAN INSTITUTE FOR CANCER]  {aicr.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: Public   <| Health |>      --   [AMERICAN INTERNATIONAL HEALTH]  {aiha.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: Many   <| women |>   consider   --   [AID FOR WOMEN]  {aidforwomen.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: promoting   <| AIDS |>   awareness   --   [AIDS MEMORIAL GROVE]  {aidsmemorial.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: At   <| Aidells |>   ,   --   [AIDELLS SAUSAGE COMPANY]  {aidells.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: of   <| Health |>   and   --   [AMERICAN INTERNATIONAL HEALTH]  {aiha.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 5
COMPANY: by   <| AIDS |>   ,   --   [AIDS MEMORIAL GROVE]  {aidsmemorial.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: assists   <| school |>   systems   --   [ALABAMA SCHOOL FOR THE BLIND]  {aidb.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: Francisco   <| AIDS |>   Foundation   --   [AIDS MEMORIAL GROVE]  {aidsmemorial.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: Development   <| Authority |>   .   --   [ENERGY AUTHORITY]  {aidea.org} REASON:ONLY_ONE_WORD    Occurrence: 1
COMPANY: meet   <| for |>   an   --   [AID FOR WOMEN]  {aidforwomen.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
ADDRESS: ID   <| S |>   /   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY: Black   <| Hardware |>      --   [ARIZONA INDUSTRIAL HARDWARE]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 2
COMPANY:    <| AIDP |>   BRINGS   --   [AIDP INCORPORATION]  {aidp.com} REASON:ONLY_ONE_WORD    Occurrence: 2
COMPANY: a   <| Health |>   Systems   --   [AMERICAN INTERNATIONAL HEALTH]  {aiha.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
ADDRESS: /   <| S |>   Yellow   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 4
ADDRESS: /   <| S |>   A4   --   [6628 S DATELAND DR]  {aihfasteners.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 12
COMPANY: motorocycle   <| auto |>   home   --   [AUTO INSURANCE CENTER]  {aicok.net} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 4
COMPANY:    <| Health |>   Leadership   --   [AMERICAN INTERNATIONAL HEALTH]  {aiha.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
COMPANY: of   <| America |>   .   --   [AMERICAN INSTITUTE FOR CANCER]  {aicr.org} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 1
CITY:    <| Industry |>   Appliance   --   [CITY OF INDUSTRY]  {aicipc.com} REASON:TOO_SMALL_OR_TOO_SHORT    Occurrence: 26
